Date,Semantic,Weight,Link,Notes
04/30/2021,0,0,0,0
05/01/2021,0,0,0,0
05/02/2021,1,1,https://www.nftculture.com/nft-news/bored-ape-yacht-club-the-latest-nft-collectable-craze/,0
05/03/2021,0,0,0,0
05/04/2021,0,0,0,0
05/05/2021,0,0,0,0
05/06/2021,1,1,https://topshotfund.substack.com/p/bored-ape-yacht-club?s=r,0
05/07/2021,0,0,0,0
05/08/2021,0,0,0,0
05/09/2021,0,0,0,0
05/10/2021,0,0,0,0
05/11/2021,0,0,0,0
05/12/2021,0,0,0,0
05/13/2021,0,0,0,0
05/14/2021,-1,1,Discord ,Scammer
05/15/2021,0,0,0,0
05/16/2021,0,0,0,0
05/17/2021,0,0,0,0
05/18/2021,0,0,0,0
05/19/2021,0,0,0,0
05/20/2021,0,0,0,0
05/21/2021,-1,1,Discord ,Scammer
05/22/2021,0,0,0,0
05/23/2021,0,0,0,0
05/24/2021,0,0,0,0
05/25/2021,0,0,0,0
05/26/2021,0,0,0,0
05/27/2021,0,0,0,0
05/28/2021,1,1,Discord,Merch Drop
05/29/2021,0,0,0,0
05/30/2021,0,0,0,0
05/31/2021,0,0,0,0
06/01/2021,0,0,0,0
06/02/2021,1,2,https://thedefiant.io/boredape/,Defiant Article on BAYC
06/03/2021,0,0,0,0
06/04/2021,0,0,0,0
06/05/2021,-1,1,Discord,Scammer
06/06/2021,0,0,0,0
06/07/2021,0,0,0,0
06/08/2021,0,0,0,0
06/09/2021,0,0,0,0
06/10/2021,0,0,0,0
06/11/2021,0,0,0,0
06/12/2021,0,0,0,0
06/13/2021,0,0,0,0
06/14/2021,0,0,0,0
06/15/2021,-1,1,Discord,OpenSea issues
06/16/2021,0,0,0,0
06/17/2021,1,1,Discord,Bored Ape Kennel Club
06/18/2021,0,0,0,0
06/19/2021,0,0,0,0
06/20/2021,0,0,0,0
06/21/2021,0,0,0,0
06/22/2021,0,0,0,0
06/23/2021,0,0,0,0
06/24/2021,1,1,Discord ,Roadmap launched
06/25/2021,0,0,0,0
06/26/2021,0,0,0,0
06/27/2021,0,0,0,0
06/28/2021,0,0,0,0
06/29/2021,1,1,https://www.thestreet.com/crypto/defi/bored-ape-yacht-club-minting-nft-money,
06/30/2021,1,1,Discord ,Donates to charities
07/01/2021,0,0,0,0
07/02/2021,0,0,0,0
07/03/2021,0,0,0,0
07/04/2021,0,0,0,0
07/05/2021,0,0,0,0
07/06/2021,0,0,0,0
07/07/2021,0,0,0,0
07/08/2021,0,0,0,0
07/09/2021,0,0,0,0
07/10/2021,0,0,0,0
07/11/2021,0,0,0,0
07/12/2021,0,0,0,0
07/13/2021,0,0,0,0
07/14/2021,0,0,0,0
07/15/2021,0,0,0,0
07/16/2021,0,0,0,0
07/17/2021,0,0,0,0
07/18/2021,0,0,0,0
07/19/2021,0,0,0,0
07/20/2021,0,0,0,0
07/21/2021,0,0,0,0
07/22/2021,0,0,0,0
07/23/2021,0,0,0,0
07/24/2021,0,0,0,0
07/25/2021,0,0,0,0
07/26/2021,0,0,0,0
07/27/2021,0,0,0,0
07/28/2021,0,0,0,0
07/29/2021,0,0,0,0
07/30/2021,1,2,https://www.newyorker.com/culture/infinite-scroll/why-bored-ape-avatars-are-taking-over-twitter,New Yorker Article
07/31/2021,0,0,0,0
08/01/2021,0,0,0,0
08/02/2021,0,0,0,0
08/03/2021,0,0,0,0
08/04/2021,0,0,0,0
08/05/2021,0,0,0,0
08/06/2021,0,0,0,0
08/07/2021,0,0,0,0
08/08/2021,0,0,0,0
08/09/2021,0,0,0,0
08/10/2021,0,0,0,0
08/11/2021,0,0,0,0
08/12/2021,0,0,0,0
08/13/2021,0,0,0,0
08/14/2021,0,0,0,0
08/15/2021,0,0,0,0
08/16/2021,0,0,0,0
08/17/2021,0,0,0,0
08/18/2021,0,0,0,0
08/19/2021,0,0,0,0
08/20/2021,0,0,0,0
08/21/2021,0,0,0,0
08/22/2021,0,0,0,0
08/23/2021,0,0,0,0
08/24/2021,0,0,0,0
08/25/2021,0,0,0,0
08/26/2021,0,0,0,0
08/27/2021,1,1,Discord ,0
08/28/2021,0,0,0,0
08/29/2021,0,0,0,0
08/30/2021,0,0,0,0
08/31/2021,1,2,https://www.sothebys.com/en/buy/auction/2021/ape-in/101-bored-ape-yacht-club,Sothebeys Auction
09/01/2021,1,1,https://www.coindesk.com/business/2021/09/01/the-bored-apes-founders-havent-yet-joined-the-yacht-club/,
09/02/2021,0,0,0,0
09/03/2021,1,1,https://ca.finance.yahoo.com/news/bored-ape-yacht-club-nft-111457016.html,
09/04/2021,0,0,0,0
09/05/2021,0,0,0,0
09/06/2021,0,0,0,0
09/07/2021,0,0,0,0
09/08/2021,0,0,0,0
09/09/2021,0,0,0,0
09/10/2021,0,0,0,0
09/11/2021,0,0,0,0
09/12/2021,0,0,0,0
09/13/2021,0,0,0,0
09/14/2021,0,0,0,0
09/15/2021,0,0,0,0
09/16/2021,0,0,0,0
09/17/2021,0,0,0,0
09/18/2021,0,0,0,0
09/19/2021,0,0,0,0
09/20/2021,0,0,0,0
09/21/2021,0,0,0,0
09/22/2021,0,0,0,0
09/23/2021,0,0,0,0
09/24/2021,0,0,0,0
09/25/2021,0,0,0,0
09/26/2021,0,0,0,0
09/27/2021,0,0,0,0
09/28/2021,0,0,0,0
09/29/2021,0,0,0,0
09/30/2021,0,0,0,0
10/01/2021,1,1,Discord,Ape Fest announced
10/02/2021,0,0,0,0
10/03/2021,0,0,0,0
10/04/2021,0,0,0,0
10/05/2021,0,0,0,0
10/06/2021,0,0,0,0
10/07/2021,0,0,0,0
10/08/2021,1,1,https://www.theblockcrypto.com/linked/119966/bored-ape-yacht-club-plans-to-launch-its-own-token-in-q1-of-2022,Coin Annonced
10/09/2021,0,0,0,0
10/10/2021,0,0,0,0
10/11/2021,0,0,0,0
10/12/2021,0,0,0,0
10/13/2021,0,0,0,0
10/14/2021,0,0,0,0
10/15/2021,0,0,0,0
10/16/2021,0,0,0,0
10/17/2021,0,0,0,0
10/18/2021,0,0,0,0
10/19/2021,0,0,0,0
10/20/2021,0,0,0,0
10/21/2021,0,0,0,0
10/22/2021,0,0,0,0
10/23/2021,0,0,0,0
10/24/2021,0,0,0,0
10/25/2021,0,0,0,0
10/26/2021,1,1,https://hypebeast.com/2021/10/bored-ape-yacht-club-nft-3-4-million-record-sothebys-metaverse,1
10/27/2021,0,0,0,0
10/28/2021,0,0,0,0
10/29/2021,0,0,0,0
10/30/2021,0,0,0,0
10/31/2021,0,0,0,0
11/01/2021,1,1,https://www.rollingstone.com/culture/culture-news/bayc-bored-ape-yacht-club-nft-interview-1250461/,Rolling Stones parternship
11/02/2021,0,0,0,0
11/03/2021,0,0,0,0
11/04/2021,0,0,0,0
11/05/2021,0,0,0,0
11/06/2021,0,0,0,0
11/07/2021,0,0,0,0
11/08/2021,0,0,0,0
11/09/2021,0,0,0,0
11/10/2021,0,0,0,0
11/11/2021,0,0,0,0
11/12/2021,0,0,0,0
11/13/2021,0,0,0,0
11/14/2021,0,0,0,0
11/15/2021,0,0,0,0
11/16/2021,0,0,0,0
11/17/2021,0,0,0,0
11/18/2021,0,0,0,0
11/19/2021,0,0,0,0
11/20/2021,0,0,0,0
